
book;system;product;translate;keyinitials

Core Rulebook;Edge of the Empire;1;SWE02;CRB
Game Master's Kit;Edge of the Empire;1;SWE03;GMK;
Beyond the Rim;Edge of the Empire;1;SWE05;BtR;
Enter the Unknown;Edge of the Empire;1;SWE06;EtU;
Suns of Fortune;Edge of the Empire;1;SWE07;SoF;
Jewel of Yavin;Edge of the Empire;1;SWE09;JoY;
Dangerous Covenants;Edge of the Empire;1;SWE08;DC;
Beginner Game - Adventure Book;Age of Rebellion;0;SWA01;BGA;
Beginner Game - Rulebook;Age of Rebellion;0;SWA01;BGR;
Operation Shadowpoint;Age of Rebellion;1;SWAP01;OS;
Core Rulebook;Age of Rebellion;1;SWA02;CRB;
Dead in the Water;Age of Rebellion;0;SWA03;DitW;
Far Horizons;Edge of the Empire;1;SWE10;FH
Onslaught at Arda I;Age of Rebellion;1;SWA04;OaA
Rescue at Glare Peak;Age of Rebellion;0;OP007;RaGP
Stay on Target;Age of Rebellion;1;SWA25;SoT
Lords of Nal Hutta;Edge of the Empire;1;SWE11;LoNH
Fly Casual;Edge of the Empire;1;SWE12;FC
Desperate Allies;Age of Rebellion;1;SWA31;DA
Beginner Game - Adventure Book;Force and Destiny;1;SWF01;BGA
Beginner Game - Rulebook;Force and Destiny;1;SWF01;BGR
Core Rulebook;Force and Destiny;1;SWF02;CRB
Chronicles of the Gatekeeper;Force and Destiny;1;SWF23;CotG
Hidden Depths;Force and Destiny;1;SWF03;HD
Mask of the Pirate Queen;Edge of the Empire;1;SWE13;MPQ
Strongholds of Resistance;Age of Rebellion;1;SWA30;SoR
Lead by Example;Age of Rebellion;1;SWA36;LbE
Keeping the Peace;Force and Destiny;1;SWF24;KtP
Beginner Game - Rulebook;Edge of the Empire;1;SWE01;BGR
Beginner Game - Adventure Book;Edge of the Empire;1;SWE01;BGA
Nexus of Power;Force and Destiny;1;SWF29;NoP
Special Modifications;Edge of the Empire;1;SWE14;SM
Savage Spirits;Force and Destiny;0;SWF41;SS
Forged in Battle;Age of Rebellion;0;SWA42;FiB
Endless Vigil;Force and Destiny;0;SWF30;EV
Friends Like These;Age of Rebellion;0;SWA41;FLT
No Disintegrations;Edge of the Empire;0;SWE16;ND
Disciples of Harmony;Force and Destiny;0;SWF35;DoH
Ghosts of Dathomir;Force and Destiny;0;SWF40;GoD
Fully Operational;Age of Rebellion;0;SWA47;FO
Unlimited Power;Force and Destiny;0;SWF52;UP
Knights of Fate;Force and Destiny;0;SWF46;KoF
Cyphers and Masks;Age of Rebellion;0;SWA53;CaM
Dawn of Rebellion;Star Wars Roleplaying;0;SWR10;DoR
Allies and Adversaries;Star Wars Roleplaying;0;SWR12;AaA
Rise of the Separatists;Star Wars Roleplaying;0;SWR11;RotS
